ancestor,descendant,depth
68dd56228d5c1dd8f9cf5c45,68dd56228d5c1dd8f9cf5c45,0
68dd56228d5c1dd8f9cf5c46,68dd56228d5c1dd8f9cf5c46,0
68dd56228d5c1dd8f9cf5c47,68dd56228d5c1dd8f9cf5c47,0
68dd56228d5c1dd8f9cf5c48,68dd56228d5c1dd8f9cf5c48,0
68dd56228d5c1dd8f9cf5c49,68dd56228d5c1dd8f9cf5c49,0
68dd56228d5c1dd8f9cf5c4a,68dd56228d5c1dd8f9cf5c4a,0
68dd56228d5c1dd8f9cf5c4b,68dd56228d5c1dd8f9cf5c4b,0
68dd56228d5c1dd8f9cf5c4c,68dd56228d5c1dd8f9cf5c4c,0
68dd56228d5c1dd8f9cf5c4d,68dd56228d5c1dd8f9cf5c4d,0
68dd56228d5c1dd8f9cf5c4e,68dd56228d5c1dd8f9cf5c4e,0
68dd56228d5c1dd8f9cf5c4f,68dd56228d5c1dd8f9cf5c4f,0
68dd56228d5c1dd8f9cf5c50,68dd56228d5c1dd8f9cf5c50,0
68dd56228d5c1dd8f9cf5c51,68dd56228d5c1dd8f9cf5c51,0
68dd56228d5c1dd8f9cf5c52,68dd56228d5c1dd8f9cf5c52,0
68dd56228d5c1dd8f9cf5c53,68dd56228d5c1dd8f9cf5c53,0
68dd56228d5c1dd8f9cf5c54,68dd56228d5c1dd8f9cf5c54,0
68dd56228d5c1dd8f9cf5c55,68dd56228d5c1dd8f9cf5c55,0
68dd56228d5c1dd8f9cf5c56,68dd56228d5c1dd8f9cf5c56,0
68dd56228d5c1dd8f9cf5c57,68dd56228d5c1dd8f9cf5c57,0
68dd56228d5c1dd8f9cf5c58,68dd56228d5c1dd8f9cf5c58,0
68dd56228d5c1dd8f9cf5c59,68dd56228d5c1dd8f9cf5c59,0
68dd56228d5c1dd8f9cf5c5a,68dd56228d5c1dd8f9cf5c5a,0
68dd56228d5c1dd8f9cf5c5b,68dd56228d5c1dd8f9cf5c5b,0
68dd56228d5c1dd8f9cf5c5c,68dd56228d5c1dd8f9cf5c5c,0
68dd56228d5c1dd8f9cf5c5d,68dd56228d5c1dd8f9cf5c5d,0
68dd56228d5c1dd8f9cf5c5e,68dd56228d5c1dd8f9cf5c5e,0
68dd56228d5c1dd8f9cf5c5f,68dd56228d5c1dd8f9cf5c5f,0
68dd56368d5c1dd8f9cf5c60,68dd56368d5c1dd8f9cf5c60,0
68dd56228d5c1dd8f9cf5c45,68dd56368d5c1dd8f9cf5c60,1
68dd56368d5c1dd8f9cf5c61,68dd56368d5c1dd8f9cf5c61,0
68dd56228d5c1dd8f9cf5c45,68dd56368d5c1dd8f9cf5c61,1
68dd56528d5c1dd8f9cf5c62,68dd56528d5c1dd8f9cf5c62,0
68dd56228d5c1dd8f9cf5c46,68dd56528d5c1dd8f9cf5c62,1
68dd56528d5c1dd8f9cf5c63,68dd56528d5c1dd8f9cf5c63,0
68dd56228d5c1dd8f9cf5c46,68dd56528d5c1dd8f9cf5c63,1
68dd56528d5c1dd8f9cf5c64,68dd56528d5c1dd8f9cf5c64,0
68dd56228d5c1dd8f9cf5c46,68dd56528d5c1dd8f9cf5c64,1
68dd56528d5c1dd8f9cf5c65,68dd56528d5c1dd8f9cf5c65,0
68dd56228d5c1dd8f9cf5c46,68dd56528d5c1dd8f9cf5c65,1
68dd56528d5c1dd8f9cf5c66,68dd56528d5c1dd8f9cf5c66,0
68dd56228d5c1dd8f9cf5c46,68dd56528d5c1dd8f9cf5c66,1
68dd56878d5c1dd8f9cf5c67,68dd56878d5c1dd8f9cf5c67,0
68dd56528d5c1dd8f9cf5c62,68dd56878d5c1dd8f9cf5c67,1
68dd56228d5c1dd8f9cf5c46,68dd56878d5c1dd8f9cf5c67,2
68dd56878d5c1dd8f9cf5c68,68dd56878d5c1dd8f9cf5c68,0
68dd56528d5c1dd8f9cf5c62,68dd56878d5c1dd8f9cf5c68,1
68dd56228d5c1dd8f9cf5c46,68dd56878d5c1dd8f9cf5c68,2
68dd56a18d5c1dd8f9cf5c69,68dd56a18d5c1dd8f9cf5c69,0
68dd56228d5c1dd8f9cf5c47,68dd56a18d5c1dd8f9cf5c69,1
68dd56a18d5c1dd8f9cf5c6a,68dd56a18d5c1dd8f9cf5c6a,0
68dd56228d5c1dd8f9cf5c47,68dd56a18d5c1dd8f9cf5c6a,1
68dd56a18d5c1dd8f9cf5c6b,68dd56a18d5c1dd8f9cf5c6b,0
68dd56228d5c1dd8f9cf5c47,68dd56a18d5c1dd8f9cf5c6b,1
68dd56a18d5c1dd8f9cf5c6c,68dd56a18d5c1dd8f9cf5c6c,0
68dd56228d5c1dd8f9cf5c47,68dd56a18d5c1dd8f9cf5c6c,1
68dd56b38d5c1dd8f9cf5c6d,68dd56b38d5c1dd8f9cf5c6d,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c6d,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c6d,2
68dd56b38d5c1dd8f9cf5c6e,68dd56b38d5c1dd8f9cf5c6e,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c6e,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c6e,2
68dd56b38d5c1dd8f9cf5c6f,68dd56b38d5c1dd8f9cf5c6f,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c6f,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c6f,2
