category_A,category_B,support,confidence,lift,leverage
Đường,Hạt Sấy Khô,0.006547753443215173,0.23387096774193547,5.311869313482216,0.005315088809204671
Giấy Vệ Sinh,Khăn Giấy,0.18085346579363287,0.9456906729634003,4.92181432497638,0.144108181666219
Khăn Giấy,Giấy Vệ Sinh,0.18085346579363287,0.9412455934195064,4.92181432497638,0.144108181666219
Sữa Rửa Mặt,"Bánh, Ngũ Cốc",0.004289907428313389,0.3220338983050847,4.754293785310733,0.003387584681332997
"Gối, Ruột Gối, Vỏ Gối",Giấy Vệ Sinh,0.01919169112666516,0.9042553191489362,4.728390564947625,0.01513287008321404
"Gối, Ruột Gối, Vỏ Gối",Khăn Giấy,0.018965906525174984,0.8936170212765957,4.650798809910743,0.014887917495686312
Khăn Ướt,Giấy Vệ Sinh,0.051704673741250845,0.870722433460076,4.5530456408437745,0.04034861060904185
Giấy Vệ Sinh,Khăn Ướt,0.051704673741250845,0.27036599763872493,4.5530456408437745,0.04034861060904185
"Xả Vải, Xịt Vải",Giấy Vệ Sinh,0.1815308195981034,0.8418848167539267,4.40225248335672,0.14029492495453083
Giấy Vệ Sinh,"Xả Vải, Xịt Vải",0.1815308195981034,0.9492325855962219,4.402252483356719,0.14029492495453083
Khăn Giấy,"Xả Vải, Xịt Vải",0.18130503499661324,0.9435957696827262,4.376110642853188,0.13987440177148897
"Xả Vải, Xịt Vải",Khăn Giấy,0.18130503499661324,0.8408376963350785,4.376110642853188,0.13987440177148897
Khăn Ướt,Khăn Giấy,0.04831790471889817,0.8136882129277566,4.2348120975993355,0.03690821200873306
Khăn Giấy,Khăn Ướt,0.04831790471889817,0.25146886016451236,4.2348120975993355,0.03690821200873306
Giấy Vệ Sinh,Nước Giặt,0.18356288101151502,0.9598583234946871,4.127390791027155,0.1390885653226357
Nước Giặt,Giấy Vệ Sinh,0.18356288101151502,0.7893203883495146,4.127390791027155,0.1390885653226357
Khăn Ướt,"Xả Vải, Xịt Vải",0.05260781214721156,0.8859315589353612,4.108681544004937,0.03980375041018725
"Xả Vải, Xịt Vải",Khăn Ướt,0.05260781214721156,0.24397905759162303,4.108681544004937,0.03980375041018725
Khăn Giấy,Nước Giặt,0.18311131180853465,0.9529964747356052,4.097884841363102,0.13842696393222262
Nước Giặt,Khăn Giấy,0.18311131180853465,0.7873786407766991,4.097884841363102,0.13842696393222262
Vang Đỏ,Trái Cây Sấy,0.003160984420862497,0.19718309859154928,4.043166405842462,0.002379175288224571
"Kem Tươi, Whipping Cream",Sữa Có Đường,0.003160984420862497,0.6086956521739131,4.005814329091026,0.00237188533608795
"Gối, Ruột Gối, Vỏ Gối","Xả Vải, Xịt Vải",0.01806276811921427,0.851063829787234,3.946975604322157,0.01348641145274931
"Gối, Ruột Gối, Vỏ Gối",Khăn Ướt,0.004967261232783924,0.23404255319148937,3.941347787395842,0.003706966150815039
"Gối, Ruột Gối, Vỏ Gối",Nước Giặt,0.01919169112666516,0.9042553191489362,3.888297872340426,0.014255934721996145
Phụ Kiện Nữ,Răng Miệng,0.0038383382253330323,0.4473684210526316,3.869911595394737,0.002846496905262382
Khăn Ướt,Nước Giặt,0.05260781214721156,0.8859315589353612,3.809505703422053,0.03879819582350995
Nước Giặt,Khăn Ướt,0.05260781214721156,0.2262135922330097,3.809505703422053,0.03879819582350995
"Xả Vải, Xịt Vải",Nước Giặt,0.1858207270264168,0.8617801047120419,3.7056544502617803,0.13567554227685394
Nước Giặt,"Xả Vải, Xịt Vải",0.1858207270264168,0.7990291262135922,3.7056544502617803,0.13567554227685394
"Túi Rác, Sọt Rác",Nhuộm Tóc,0.004515692029803568,0.2898550724637681,3.6889888389138763,0.003291591815086439
Mặt Nạ,"Sữa Hạt, Sữa Đậu",0.005418830435764281,0.1889763779527559,3.6709490261085786,0.003942691596127883
Giấy Vệ Sinh,Bột Giặt,0.04831790471889817,0.2526564344746163,3.6331667152210247,0.03501878895950514
Bột Giặt,Giấy Vệ Sinh,0.04831790471889817,0.6948051948051948,3.6331667152210243,0.03501878895950514
Nước Dinh Dưỡng,Bia,0.0033867690223526757,0.4411764705882353,3.6051117864119817,0.002447333791767666
Sữa Rửa Mặt,Sữa Không Đường,0.0040641228268232105,0.3050847457627119,3.5841388301937687,0.002930203908117851
Bột Ngọt,Nước Có Ga,0.006547753443215173,0.6590909090909091,3.5729665071770333,0.004715171629178385
Bột Giặt,Khăn Giấy,0.047640550914427635,0.685064935064935,3.565396706701055,0.03427862941354986
Khăn Giấy,Bột Giặt,0.047640550914427635,0.24794359576968272,3.565396706701055,0.03427862941354986
Khăn Ướt,Bột Giặt,0.014675999096861594,0.24714828897338403,3.5539602982568765,0.010546521594240143
Bột Giặt,Khăn Ướt,0.014675999096861594,0.21103896103896103,3.553960298256876,0.010546521594240143
"Bánh Bao, Bánh Giò",Đồ Uống Khác,0.004289907428313389,0.2111111111111111,3.5417087542087544,0.00307865384253632
Thịt Hộp,Sữa Chua Ăn,0.0040641228268232105,0.391304347826087,3.5369121561668146,0.0029150632382956374
Tương Cà,Socola,0.003160984420862497,0.358974358974359,3.5252714764909885,0.0022643203080580836
Thịt Heo Khác,Bàn Chải Đánh Răng,0.003612553623842854,1.0,3.503955696202532,0.0025815606727167834
Xúc Xích,Gia Vị Hoàn Chỉnh,0.004515692029803568,0.1724137931034483,3.3492135511191776,0.003167407735332527
Viên Giặt,Giấy Vệ Sinh,0.0083540302551366,0.6379310344827587,3.335769246427554,0.0058496513134327155
Vang Đỏ,"Bánh, Ngũ Cốc",0.003612553623842854,0.22535211267605634,3.3269483568075113,0.002526707606290178
Rau Lá,Sữa Chua Ăn,0.004289907428313389,0.36538461538461536,3.3026295133437986,0.0029909705021517845
"Kem Tươi, Whipping Cream",Nước Có Ga,0.003160984420862497,0.6086956521739131,3.299771167048055,0.002203043927161449
Bơ,Mì Ăn Liền,0.006547753443215173,0.4603174603174603,3.2883000512032767,0.004556525957505901
Vớ,Bàn Chải Đánh Răng,0.006547753443215173,0.9354838709677419,3.2778940383830135,0.004550204600408411
Pizza,"Cà Phê Hạt, Phin",0.004289907428313389,0.20652173913043478,3.220721065523576,0.002957936313448774
"Gối, Ruột Gối, Vỏ Gối",Bột Giặt,0.004741476631293746,0.22340425531914893,3.21252417794971,0.003265541706402429
Bột Giặt,"Xả Vải, Xịt Vải",0.048092120117407995,0.6915584415584416,3.207238049908207,0.03309724933792706
"Xả Vải, Xịt Vải",Bột Giặt,0.048092120117407995,0.22303664921465968,3.207238049908207,0.03309724933792706
"Dao Cạo, Tẩy Lông",Nhuộm Tóc,0.003160984420862497,0.25,3.1817528735632186,0.0021675117828312044
"Há Cảo, Dim Sum",Trái Cây Sấy,0.004515692029803568,0.15503875968992248,3.1790123456790123,0.003095221915574096
Pizza,Gia Vị Hoàn Chỉnh,0.0033867690223526757,0.16304347826086957,3.167191075514874,0.002317440099151506
Xương,Bàn Chải Đánh Răng,0.0040641228268232105,0.9,3.1535601265822786,0.0027753816379156217
Thịt Hộp,Sữa Có Đường,0.004967261232783924,0.4782608695652174,3.147425544285807,0.0033890630632348287
Viên Giặt,Khăn Giấy,0.007902461052156242,0.603448275862069,3.1406256331293814,0.0053862550552377
Cider,Sữa Chua Uống,0.004741476631293746,0.4666666666666667,3.126878466969239,0.0032251156081902566
"Rau, Trái Cây Đông Lạnh","Bình Nước, Ly Nước",0.007450891849175886,0.3055555555555556,3.111047254150703,0.005055913168207591
"Dao Cạo, Tẩy Lông",Khử Mùi,0.006547753443215173,0.5178571428571429,3.103639087570076,0.004438051490614238
"Thịt Xay, Đùi, Vai, Nạc","Nước Súc Miệng, Xịt Thơm Miệng",0.013321291487920524,0.8428571428571429,3.0928038821162267,0.009014102284961578
"Thịt Xay, Đùi, Vai, Nạc",Nhuộm Tóc,0.0038383382253330323,0.24285714285714285,3.0908456486042692,0.0025964974277939163
"Bánh Kem, Bánh Lạnh",Đồ Uống Khác,0.003612553623842854,0.1839080459770115,3.0853361198188782,0.002441675157591687
"Chả Giò, Chả Rế",Sữa Không Đường,0.003612553623842854,0.26229508196721313,3.0814454059225116,0.0024401967756898547
Thịt Heo Khác,Kem Đánh Răng,0.0033867690223526757,0.9375,3.0779744255003707,0.002286445057899298
Vớ,"Nước Súc Miệng, Xịt Thơm Miệng",0.005870399638744638,0.8387096774193549,3.0775850549215598,0.003962930134577105
Bột Giặt,Nước Giặt,0.04967261232783924,0.7142857142857143,3.0714285714285716,0.03350013389551949
Nước Giặt,Bột Giặt,0.04967261232783924,0.21359223300970873,3.0714285714285716,0.03350013389551949
Món Ăn Nhanh Khác,Trà Đóng Chai,0.003160984420862497,0.2,3.065051903114187,0.002129685597618806
Vang Đỏ,Trà Túi Lọc,0.003160984420862497,0.19718309859154928,3.0642945391648135,0.0021294307041874556
Đồ Chơi Bé Gái,Sữa Chua Uống,0.003612553623842854,0.45714285714285713,3.0630646207045604,0.002433161716984584
Rượu Khác,Kẹo,0.006096184240234816,0.6,3.0579976985040274,0.00410266271364339
Chăm Sóc Sức Khỏe,Kem Đánh Răng,0.005870399638744638,0.9285714285714286,3.048660383352748,0.003944832700951227
"Bánh Tráng, Bánh Phồng",Nước Trái Cây,0.005870399638744638,0.2736842105263158,3.0455964030679716,0.003942895510872964
"Rau, Trái Cây Đông Lạnh","Cà Phê Hạt, Phin",0.004741476631293746,0.19444444444444445,3.0323748043818464,0.0031778583660178935
"Túi Rác, Sọt Rác","Nước Súc Miệng, Xịt Thơm Miệng",0.012869722284940167,0.8260869565217391,3.03126688519866,0.008624064356309205
Pizza,Nước Trái Cây,0.0056446150372544595,0.2717391304347826,3.023951278129779,0.003777979460789259
Bánh Kẹo Khác,Mì Ăn Liền,0.004289907428313389,0.4222222222222222,3.016164874551971,0.0028676020813781945
"Há Cảo, Dim Sum",Gia Vị Hoàn Chỉnh,0.004515692029803568,0.15503875968992248,3.0116959064327484,0.003016306909228014
"Bánh Bao, Bánh Giò",Bột Các Loại,0.003160984420862497,0.15555555555555556,3.008539543910723,0.0021103136968361764
"Bánh Kem, Bánh Lạnh",Bia,0.007225107247685708,0.367816091954023,3.0056410908936675,0.004821258275306418
"Pastry, Pie","Sữa Hạt, Sữa Đậu",0.0038383382253330323,0.15454545454545454,3.0021132376395534,0.00255979277367946
"Thịt Xay, Đùi, Vai, Nạc",Khử Mùi,0.007902461052156242,0.5,2.996617050067659,0.005265333611405074
Chăm Sóc Sức Khỏe,Khử Mùi,0.003160984420862497,0.5,2.996617050067659,0.0021061334445620296
Topokki,Sữa Có Đường,0.0056446150372544595,0.45454545454545453,2.9913548561394028,0.003757638964967498
"Dao Cạo, Tẩy Lông",Kem Đánh Răng,0.011515014675999097,0.9107142857142857,2.9900322990575026,0.007663880800412276
Pizza,"Bình Nước, Ly Nước",0.006096184240234816,0.29347826086956524,2.98808095952024,0.004056017215706267
"Nhà Vệ Sinh, Cát Vệ Sinh",Ủ Tóc,0.0038383382253330323,0.2361111111111111,2.9878174603174603,0.00255367533132705
Chân Giò,Dầu Xả,0.0038383382253330323,0.8095238095238095,2.9853296855794778,0.0025526047789153784
Vớ,Dầu Xả,0.0056446150372544595,0.8064516129032258,2.974000161156026,0.003746627568733161
Chân Giò,"Nước Súc Miệng, Xịt Thơm Miệng",0.0038383382253330323,0.8095238095238095,2.970489604292421,0.0025461814644453483
"Há Cảo, Dim Sum",Cà Phê Hòa Tan,0.007225107247685708,0.24806201550387597,2.9693693693693697,0.004791894552014854
Ủ Tóc,"Nước Súc Miệng, Xịt Thơm Miệng",0.06389704222172048,0.8085714285714286,2.9669949106403126,0.04236109620692575
"Nước Súc Miệng, Xịt Thơm Miệng",Ủ Tóc,0.06389704222172048,0.23446561723280862,2.9669949106403126,0.04236109620692575
"Pastry, Pie",Trà Túi Lọc,0.004741476631293746,0.19090909090909092,2.966794258373206,0.0031432948167267804
Vớ,Kem Đánh Răng,0.006321968841724994,0.9032258064516129,2.965446328224013,0.004190091160596575
Viên Giặt,"Xả Vải, Xịt Vải",0.0083540302551366,0.6379310344827587,2.958530420653548,0.005530320822636943
Trái Cây Sấy,Bột Các Loại,0.007450891849175886,0.1527777777777778,2.954815623483746,0.004929282111512716
Pizza,Bột Các Loại,0.003160984420862497,0.15217391304347827,2.9431365103474465,0.00208696545852448
Nước Dinh Dưỡng,Mì Ăn Liền,0.003160984420862497,0.4117647058823529,2.9414611005692595,0.002086353714289239
Món Ăn Nhanh,Bột Các Loại,0.0038383382253330323,0.15178571428571427,2.9356285090455394,0.002530836879878055
"Chả Lụa, Nem",Socola,0.003160984420862497,0.2978723404255319,2.925225267726565,0.00208038920799564
Món Ăn Nhanh,"Cà Phê Hạt, Phin",0.004741476631293746,0.1875,2.924075704225352,0.0031199465784150842
Tương Cà,Nước Có Ga,0.004741476631293746,0.5384615384615384,2.9190283400809713,0.00311714275067023
Thịt Khô,Trà Túi Lọc,0.005418830435764281,0.1875,2.9138157894736842,0.0035591279606318115
Bánh Xốp,Đồ Uống Khác,0.0056446150372544595,0.1724137931034483,2.892502612330199,0.0036931509268358486
"Tô, Chén, Đĩa, Muỗng, Đũa","Băng Vệ Sinh, Tampon, Tã Người Lớn",0.004967261232783924,0.2268041237113402,2.8865386894181775,0.003246424699051149
Sữa Công Thức,Sữa Chua Ăn,0.0033867690223526757,0.3191489361702128,2.884715588363005,0.002212729877552764
Bơ,Sữa Chua Uống,0.006096184240234816,0.42857142857142855,2.871623081910525,0.0039732788078899305
Sữa Người Lớn,"Băng Vệ Sinh, Tampon, Tã Người Lớn",0.003612553623842854,0.22535211267605634,2.8680589282823377,0.0023529722434817504
Vang Đỏ,Cà Phê Hòa Tan,0.0038383382253330323,0.23943661971830985,2.866121050628093,0.002499128137018066
Mặt Nạ,Socola,0.0083540302551366,0.29133858267716534,2.861061158929413,0.005434124041645304
"Bánh Kem, Bánh Lạnh",Trà Túi Lọc,0.003612553623842854,0.1839080459770115,2.857995563621698,0.0023485370977762536
Tương Ớt,Sữa Không Đường,0.0040641228268232105,0.24324324324324326,2.8576242024517886,0.0026419194372605563
Món Ăn Nhanh Khác,Sữa Không Đường,0.0038383382253330323,0.24285714285714285,2.853088291019325,0.0024930106946656565
Kem Đánh Răng,Ủ Tóc,0.06863851885301422,0.22535211267605634,2.8516700201207246,0.04456893213059659
Ủ Tóc,Kem Đánh Răng,0.06863851885301422,0.8685714285714285,2.851670020120724,0.04456893213059659
Tương Cà,Bánh Quy,0.004515692029803568,0.5128205128205128,2.8462181093760037,0.0029291333557061794
"Thịt Xay, Đùi, Vai, Nạc",Răng Miệng,0.005193045834274102,0.32857142857142857,2.842271205357143,0.0033659697183544834
Pizza,Trà Đóng Chai,0.0038383382253330323,0.18478260869565216,2.8318414322250636,0.002482916914784181
"Dao Cạo, Tẩy Lông",Dầu Xả,0.009708737864077669,0.7678571428571429,2.8316730105864165,0.006280115340297259
Bánh Kẹo Khác,Sữa Chua Uống,0.004289907428313389,0.4222222222222222,2.829080517734073,0.0027735464052098995
Cà Phê Đóng Chai,Mì Ăn Liền,0.004289907428313389,0.3958333333333333,2.8276545698924727,0.002772781724915848
