bill_id,barcode,product_id_str,product_name_vi,price,brand_name,country_name,category_id,category_name,parent_category_name,category_path
0,9300658408526,683129de419bc51ab2ee7179,Sữa Chua Ăn Kiểu Hy Lạp Farmers Union Vị Vani Hũ 90G,20900,FARMERS UNION,Australia,682fdceb419bc5d02ce660e4,Sữa Chua Ăn,"Sữa Chua, Váng Sữa","Chế Phẩm Từ Sữa > Sữa > Sữa Chua, Váng Sữa > Sữa Chua Ăn"
0,8935212813020,68312d8e419bc51ab2ee7760,Sữa Tắm Romano Classic Sạch Khuẩn 650g,185900,Wipro,UNKNOWN_COUNTRY,682fdf11419bc50c9f24af0f,"Tắm, Gội",Làm Sạch Cơ Thể,"Chăm Sóc Cá Nhân > Chăm Sóc Nam Giới > Làm Sạch Cơ Thể > Tắm, Gội"
0,8850157400107,68312f1a419bc51ab2ee79e3,Snack Mực Tẩm Gia Vị Cay Ngọt Bento 18g,28500,UNKNOWN_BRAND,UNKNOWN_COUNTRY,682fde17419bc5e8a44ee68b,Bánh Snack,"Snack, Ăn Vặt","Bánh Kẹo > Snack, Ăn Vặt > Bánh Snack"
0,8934680012027,68312f73419bc51ab2ee7a64,Khoai Tây Chiên Slide Vị Thơm Cay 90G,32600,Slide,UNKNOWN_COUNTRY,682fde17419bc5e8a44ee68b,Bánh Snack,"Snack, Ăn Vặt","Bánh Kẹo > Snack, Ăn Vặt > Bánh Snack"
0,78895152869,68312617419bc51ab2ee6b33,Nước Tương Đậu Nành Lee Kum Kee Chai 500ml,22500,LEE KUM KEE,Malaysia,682fdc7f419bc5bc406ac822,Gia Vị Hoàn Chỉnh,"Sốt, Gia Vị Các Loại","Dầu Ăn, Gia Vị > Gia Vị > Sốt, Gia Vị Các Loại > Gia Vị Hoàn Chỉnh"
0,8934868188650,68312dce419bc51ab2ee77cb,Sữa Tắm Dove Serum Với Pro-Ceramide Sáng Da Rạng Rỡ Chai 900G,247000,Dove,Vietnam,682fdf17419bc50c9f24af22,Sữa Tắm,Làm Sạch Cơ Thể,Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Làm Sạch Cơ Thể > Sữa Tắm
0,9556123464720,68312e53419bc51ab2ee789c,Tắm Gội Pureen Sữa Chua Hương Nho Đen và Mận Chai 500ml,137900,Pureen,Malaysia,682fdf17419bc50c9f24af22,Sữa Tắm,Làm Sạch Cơ Thể,Chăm Sóc Cá Nhân > Chăm Sóc Cơ Thể > Làm Sạch Cơ Thể > Sữa Tắm
0,8801047161608,68312a68419bc51ab2ee724b,Cháo Ăn Liền Vị Thịt Bò Dongwon Tô 288g,54000,Dongwon,South Korea,682fdc73419bc5bc406ac817,"Cơm, Cháo, Canh Ăn Liền","Mì, Bún, Topokki Ăn Liền","Gạo, Mì, Bún, Đậu > Mì, Bún, Topokki Ăn Liền > Cơm, Cháo, Canh Ăn Liền"
0,8850199586586,68313a21419bc51ab2ee8b2c,Kẹo Dẻo Tự Làm Thế Giới Đại Dương Hộp 32G,38900,Roscela,Thailand,682fde10419bc5e8a44ee683,Kẹo,Bánh Kẹo,Bánh Kẹo > Kẹo
0,8934673101080,68313003419bc51ab2ee7b5b,Sữa Tươi Tiệt Trùng Ít Đường Vinamilk 100% Bịch 220ml,8600,Male,Vietnam,682fdceb419bc5d02ce660e8,Sữa Có Đường,Sữa Nước,Chế Phẩm Từ Sữa > Sữa > Sữa Nước > Sữa Có Đường
